Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Month_Name,Day,Day_of_Week
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,1:08:00 PM,Ewallet,522.83,4.761904762,26.1415,9.1,2019,1,January,5,Saturday
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6,2019,3,March,8,Friday
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,1:23:00 PM,Credit card,324.31,4.761904762,16.2155,7.4,2019,3,March,3,Sunday
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,58.22,8,23.288,489.048,2019-01-27,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4,2019,1,January,27,Sunday
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00 AM,Ewallet,604.17,4.761904762,30.2085,5.3,2019,2,February,8,Friday
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,6:30:00 PM,Ewallet,597.73,4.761904762,29.8865,4.1,2019,3,March,25,Monday
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8,2019,2,February,25,Monday
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8.0,2019,2,February,24,Sunday
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,5:15:00 PM,Credit card,72.52,4.761904762,3.626,7.2,2019,1,January,10,Thursday
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,1:27:00 PM,Credit card,164.52,4.761904762,8.226,5.9,2019,2,February,20,Wednesday
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,6:07:00 PM,Ewallet,57.92,4.761904762,2.896,4.5,2019,2,February,6,Wednesday
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,5:03:00 PM,Cash,102.04,4.761904762,5.102,6.8,2019,3,March,9,Saturday
365-64-0515,Alex,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00 AM,Ewallet,234.75,4.761904762,11.7375,7.1,2019,2,February,12,Tuesday
