Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Fashion accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Fashion accessories,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8.0
665-32-9167,A,Yangon,Member,Female,Fashion accessories,36.26,2,3.626,76.146,1/10/2019,10:32,Cash,72.52,4.761904762,3.626,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,B,Mandalay,Normal,Female,Health and beauty,10.36,1,0.518,10.878,2/7/2019,16:38,Ewallet,10.36,4.761904762,0.518,4.5
529-56-3974,A,Yangon,Member,Female,Home and lifestyle,43.41,6,13.023,273.483,3/25/2019,12:18,Ewallet,260.46,4.761904762,13.023,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,98.72,5,24.68,518.28,2/12/2019,10:27,Cash,493.6,4.761904762,24.68,7.1
252-56-2699,B,Mandalay,Normal,Male,Home and lifestyle,86.08,5,21.52,451.92,1/29/2019,13:46,Cash,430.4,4.761904762,21.52,4.5
441-52-4710,C,Naypyitaw,Normal,Female,Sports and travel,28.37,4,5.674,119.154,3/2/2019,17:16,Ewallet,113.48,4.761904762,5.674,6.9
448-60-8515,A,Yangon,Member,Male,Food and beverages,42.53,10,21.265,446.565,3/23/2019,20:05,Credit card,425.3,4.761904762,21.265,8.7
163-05-2809,B,Mandalay,Member,Male,Sports and travel,96.02,6,28.806,604.926,2/27/2019,18:30,Ewallet,576.12,4.761904762,28.806,7.7
738-95-6563,C,Naypyitaw,Member,Male,Electronic accessories,86.31,3,12.9465,271.8765,1/16/2019,12:21,Ewallet,258.93,4.761904762,12.9465,9.5
696-95-9043,A,Yangon,Member,Female,Health and beauty,97.38,8,38.952,818.004,3/20/2019,12:22,Cash,779.04,4.761904762,38.952,4.5
810-19-6915,B,Mandalay,Normal,Female,Fashion accessories,56.71,4,11.342,238.182,1/23/2019,19:24,Ewallet,226.84,4.761904762,11.342,7.8
383-26-6163,C,Naypyitaw,Normal,Male,Sports and travel,14.48,8,5.792,121.632,3/11/2019,17:25,Ewallet,115.84,4.761904762,5.792,6.3
158-84-9827,A,Yangon,Member,Female,Home and lifestyle,25.51,4,5.102,107.142,2/12/2019,18:42,Credit card,102.04,4.761904762,5.102,5.1
481-36-5552,B,Mandalay,Normal,Male,Electronic accessories,97.44,4,19.488,409.248,1/11/2019,11:03,Ewallet,389.76,4.761904762,19.488,6.2
781-43-3131,C,Naypyitaw,Member,Female,Home and lifestyle,42.43,7,14.8505,311.9205,2/15/2019,18:23,Credit card,297.01,4.761904762,14.8505,7.4
687-20-5993,B,Mandalay,Member,Male,Food and beverages,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
732-52-6009,A,Yangon,Member,Female,Sports and travel,93.72,6,28.116,590.436,2/18/2019,13:13,Ewallet,562.32,4.761904762,28.116,8.9
272-39-9701,C,Naypyitaw,Normal,Male,Health and beauty,40.35,2,4.035,84.735,1/3/2019,17:15,Credit card,80.7,4.761904762,4.035,7.6
239-95-1843,B,Mandalay,Normal,Female,Electronic accessories,53.29,10,26.645,559.545,3/6/2019,20:33,Cash,532.9,4.761904762,26.645,6.7
701-46-5687,A,Yangon,Member,Male,Fashion accessories,26.99,5,6.7475,141.6975,1/12/2019,10:13,Cash,134.95,4.761904762,6.7475,8.2
346-52-6250,C,Naypyitaw,Normal,Female,Sports and travel,51.15,9,23.0175,483.3675,2/6/2019,13:47,Ewallet,460.35,4.761904762,23.0175,5.6
